file,line,rule,context,original,replacement
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,1,rule1_contraction,"He�d been three d","e�d","e’d"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,1,rule2_emdash_words,"elled the smoke�the wrong kind","e�t","e—t"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,1,rule1_contraction,"being stone. He�d been heading","e�d","e’d"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,1,rule1_contraction," peacetime hasn�t settled yet.","n�t","n’t"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,1,rule1_contraction," A hedge-knight�s work: a miss","t�s","t’s"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,1,rule1_contraction,"hings that didn�t ask him to b","n�t","n’t"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,4,rule1_contraction,"bles, the horse�s hooves swall","e�s","e’s"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,5,rule2_emdash_words,"agonfire before�in the war, vi","e�i","e—i"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,6,rule2_emdash_words,"A cry�thin, desperat","y�t","y—t"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,6,rule2_emdash_words,"perate, trapped�cut through th","d�c","d—c"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,8,phaseD_smart_open,"nvisible fist. ""Hold on!"" Caeli","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,8,phaseD_smart_close,"fist. ""Hold on!"" Caelin called,","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,8,phaseD_smart_open,"in the debris. ""Where are you?""","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,8,phaseD_smart_close,"""Where are you?""","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,9,phaseA_debris_stripped,"It's hot�please�""","�""",""""
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,9,rule2_emdash_words,"bble. ""It's hot�please""","t�p","t—p"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,9,phaseD_smart_open,"""Here,"" a small ","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,9,phaseD_smart_close,"""Here,"" a small voice ","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,9,phaseD_smart_open,"gh the rubble. ""It's hot—please","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,9,phaseD_smart_close,"It's hot—please""","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,11,phaseD_smart_open,"""You're going to","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,11,phaseD_smart_close,"o be all right,"" he said, setti","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,12,rule2_emdash_words,"y he always had�shaping heat t","d�s","d—s"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,15,phaseD_smart_open,"""Fire shouldn't ","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,15,phaseD_smart_close,"uldn't do this,"" he murmured, m","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,16,phaseD_smart_open,"d against him. ""What's your nam","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,16,phaseD_smart_close,"at's your name?""","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,17,phaseD_smart_open,"""Mira.""","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,17,phaseD_smart_close,"""Mira.""","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,18,phaseD_smart_open,"""I'm Caelin. Clo","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,18,phaseD_smart_close,"s bad out here.""","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,20,phaseD_smart_open,"""Mama said to hi","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,20,phaseD_smart_close,"a said to hide,"" she whispered ","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,20,phaseD_smart_open,"pered finally. ""But the red lad","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,20,phaseD_smart_close,"he spoke to me.""","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,21,phaseD_smart_open,"""The dragon?"" Ca","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,21,phaseD_smart_close,"""The dragon?"" Caelin asked, ","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,22,phaseD_smart_open,"cloak tighter. ""She said she wa","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,22,phaseD_smart_close,"he had to know."" The child's vo","""","”"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,22,phaseD_smart_open,"arely audible. ""Then she sang s","""","“"
data/acts/dragons-last-breath/chapter-1-dawns-reckoning/act-1.txt,22,phaseD_smart_close," I remember it.""","""","”"
